"Player","Team","POS","RUSHATT","RUSHYDS","RUSHTDS","REC","RECYDS","RECTDS","FL","FPTS"
"Zonovan Knight","DET","RB147","2.3","9.3","0.0","2.2","16.2","0.2","0.0","5.7"
"J.J. Taylor","HOU","RB148","2.2","8.8","0.0","2.2","16.2","0.2","0.0","5.7"
"Jake Funk","DET","RB149","2.3","9.4","0.0","2.1","16.1","0.2","0.0","5.7"
"Jermar Jefferson","DET","RB150","2.3","9.4","0.0","2.1","15.9","0.2","0.0","5.7"
"Snoop Conner","DAL","RB151","2.3","9.2","0.0","2.1","15.6","0.2","0.0","5.6"
"Chris Brooks","MIA","RB152","2.2","9.0","0.0","2.2","14.7","0.2","0.0","5.6"
"James Robinson","NO","RB153","2.4","10.1","0.0","2.1","13.4","0.2","0.0","5.5"
"Khari Blasingame","CHI","RB154","2.3","9.3","0.0","2.1","14.4","0.2","0.0","5.4"
"Tre'Quan Smith","DET","WR215","0.0","0.0","0.0","1.9","24.4","0.2","0.0","5.3"
"Patrick Ricard","BAL","RB155","2.7","10.9","0.0","1.8","13.1","0.2","0.0","5.3"
"Patrick Taylor Jr.","SF","RB156","2.5","13.5","0.0","2.0","13.8","0.1","0.0","5.2"
"Dalton Keene","HOU","TE120","0.0","0.0","0.0","2.0","21.1","0.2","0.0","5.2"
"Tre' McKitty","BUF","TE121","0.0","0.0","0.0","2.1","20.7","0.2","0.0","5.2"
"Andy Isabella","BUF","WR216","0.0","0.0","0.0","1.8","23.3","0.2","0.0","5.2"
"Tyler Goodson","IND","RB157","2.4","9.9","0.0","2.0","13.5","0.1","0.0","5.1"
"Tyler Davis","GB","TE122","0.0","0.0","0.0","2.0","20.0","0.2","0.0","5.1"
"Jody Fortson Jr.","MIA","TE123","0.0","0.0","0.0","2.1","19.7","0.2","0.0","5.0"
"Shane Zylstra","DET","TE124","0.0","0.0","0.0","2.0","20.0","0.2","0.0","5.0"
"Austin Mack","ATL","WR217","0.0","0.0","0.0","1.8","22.0","0.2","0.0","5.0"
"John Kelly Jr.","CLE","RB158","2.4","9.9","0.0","2.0","13.8","0.1","0.0","5.0"
"Julian Hill","MIA","TE125","0.0","0.0","0.0","2.1","19.1","0.2","0.0","5.0"
"Tommy Hudson","NO","TE126","0.0","0.0","0.0","2.0","19.4","0.2","0.0","5.0"
"Tom Kennedy","DET","WR218","0.0","0.0","0.0","1.7","22.2","0.2","0.0","4.9"
"Daurice Fountain","DET","WR219","0.0","0.0","0.0","1.7","22.0","0.2","0.0","4.9"
"Maurice Alexander","DET","WR220","0.0","0.0","0.0","1.7","21.9","0.2","0.0","4.9"
"Antoine Green","DET","WR221","0.0","0.0","0.0","1.7","21.8","0.2","0.0","4.9"
"Stephen Carlson","CHI","TE127","0.0","0.0","0.0","2.0","19.1","0.2","0.0","4.9"
"Montrell Washington","KC","WR222","0.0","0.0","0.0","1.8","21.2","0.2","0.0","4.9"
"Brady Russell","SEA","TE128","0.0","0.0","0.0","2.0","19.0","0.2","0.0","4.9"
"Samori Toure","GB","WR223","0.0","0.0","0.0","1.7","21.2","0.2","0.0","4.8"
"Braylon Sanders","MIA","WR224","0.0","0.0","0.0","1.8","20.2","0.2","0.0","4.8"
"Erik Ezukanma","MIA","WR225","0.0","0.0","0.0","1.8","20.1","0.2","0.0","4.8"
"Seth Williams","JAC","WR226","0.0","0.0","0.0","1.8","19.9","0.2","0.0","4.8"
"Elijah Cooks","JAC","WR227","0.0","0.0","0.0","1.8","19.7","0.2","0.0","4.8"
"Dante Pettis","CHI","WR228","0.0","0.0","0.0","1.7","20.9","0.2","0.0","4.8"
"Kwamie Lassiter II","CIN","WR229","0.0","0.0","0.0","1.7","19.9","0.2","0.0","4.7"
"Collin Johnson","CHI","WR230","0.0","0.0","0.0","1.7","20.2","0.2","0.0","4.7"
"Anthony Schwartz","MIA","WR231","0.0","0.0","0.0","1.7","19.9","0.2","0.0","4.7"
"Shedrick Jackson","CIN","WR232","0.0","0.0","0.0","1.7","19.9","0.2","0.0","4.7"
"Nsimba Webster","CHI","WR233","0.0","0.0","0.0","1.7","19.9","0.2","0.0","4.7"
"Zack Kuntz","NYJ","TE129","0.0","0.0","0.0","1.9","17.8","0.2","0.0","4.7"
"Velus Jones Jr.","CHI","WR234","0.0","0.0","0.0","1.7","19.8","0.2","0.0","4.7"
